Sujeto,Clase,archivo,start_idx,end_idx,Acceleration X(g)_mean,Acceleration X(g)_std,Acceleration X(g)_var,Acceleration X(g)_median,Acceleration X(g)_iqr,Acceleration X(g)_rms,Acceleration X(g)_ptp,Acceleration X(g)_sma
S01,Caminar,S01_Caminar_2_pipeline.csv,0,256,0.0060397206806755,0.4862238778609991,0.2364136594021878,0.048127105096204,0.2445345298025901,0.4862613881731598,3.170790566213371,0.2967544550558701
S01,Caminar,S01_Caminar_2_pipeline.csv,128,384,-0.1195813029500317,0.556925150381534,0.3101656231274942,-0.0460602164886036,0.5525322439706101,0.5696185663606143,3.3979177400983684,0.3957275682426406
S01,Caminar,S01_Caminar_2_pipeline.csv,256,512,-0.0412218944319268,0.5641248166322402,0.3182368087403587,0.0222423818521047,0.4940471212502502,0.565628900712221,3.237831908455364,0.3881823689915218
S01,Caminar,S01_Caminar_2_pipeline.csv,384,640,0.1621011199036631,0.8927331356910725,0.7969724515608148,0.06589215712344,0.3651840856508523,0.9073308242503594,5.580558488234572,0.4869369182105448
S01,Caminar,S01_Caminar_2_pipeline.csv,512,768,0.0350221789731745,0.8728869522769236,0.7619316314552962,0.0616289473951866,0.6190107076007657,0.8735892538689595,5.580558488234572,0.4745796811261167
S01,Caminar,S01_Caminar_2_pipeline.csv,640,896,-0.0646989492417884,0.458253299300251,0.2099960863195654,0.0574253740727389,0.5323243612608611,0.4627980556922825,2.6596744843157114,0.3273105784857333
S01,Caminar,S01_Caminar_2_pipeline.csv,768,1024,-0.031529282494222,0.5688217406649029,0.32355817265305,0.0468206386096293,0.5199671456889047,0.5696948905402351,3.0801321731972187,0.3877019026101723
S01,Caminar,S01_Caminar_2_pipeline.csv,896,1152,-0.0934437042862945,0.516187452604691,0.2664494862265201,0.0334087983478563,0.4619118459672779,0.5245771745866041,3.0801321731972187,0.3413281012510512
S01,Caminar,S01_Caminar_2_pipeline.csv,1024,1280,-0.1186180602776297,0.3474935908331062,0.1207517956700862,0.0405522505338155,0.2713280300549481,0.3671812085253188,1.8961999119789668,0.2372799218302914
S01,Caminar,S01_Caminar_2_pipeline.csv,1152,1408,-0.0012365445699476,0.4266847859297113,0.1820599065438835,0.0523258716927734,0.2113819488588937,0.4266865776965067,2.8042795255978934,0.2570140134224988
S01,Caminar,S01_Caminar_2_pipeline.csv,1280,1536,0.0773021081172421,0.9346870478408872,0.873639877401513,0.0384202836125315,0.4064275891942609,0.9378781868243248,6.549922367522907,0.4968295623612492
S01,Caminar,S01_Caminar_2_pipeline.csv,1408,1664,-0.0507987422149916,0.9264703686829374,0.858347344047498,-0.0123080398415164,0.5973537739135182,0.9278619812548216,6.549922367522907,0.5069123362951511
